,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,3,Simian Spirit Guide,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,3,Architects of Will,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,2,Avalanche Riders,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Deadshot Minotaur,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,4,Monstrous Carabid,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,1,Shriekmaw,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,4,Street Wraith,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,3,Twisted Abomination,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,1,Jungle Weaver,,Creatures,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,1,Garruk Relentless,,Planeswalkers,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,3,Living End,,Spells,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,3,Beast Within,,Spells,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,4,Demonic Dread,,Spells,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,4,Violent Outburst,,Spells,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,1,Slaughter Games,,Spells,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,2,Blood Crypt,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,2,Bloodstained Mire,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,1,Bojuka Bog,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,2,Forest,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,1,Mountain,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,2,Overgrown Tomb,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,2,Raging Ravine,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Rootbound Crag,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,2,Swamp,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,3,Wooded Foothills,,Lands,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
30,1,Anger of the Gods,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
31,2,Brindle Boar,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
32,1,Eternal Witness,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
33,2,Faerie Macabre,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
34,3,Ricochet Trap,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
35,3,Slaughter Games,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
36,3,Ingot Chewer,,Sideboard,6th,Living End,Timothy Gibson,85 tix,$ 360,332011,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,4,Goblin Guide,,Creatures,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,1,Grim Lavamancer,,Creatures,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,4,Monastery Swiftspear,,Creatures,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Eidolon of the Great Revel,,Creatures,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,4,Lava Spike,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,4,Lightning Bolt,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,1,Shard Volley,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,4,Atarka's Command,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,4,Boros Charm,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,2,Lightning Helix,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,3,Searing Blaze,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,2,Skullcrack,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,4,Rift Bolt,,Spells,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,4,Bloodstained Mire,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,1,Clifftop Retreat,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,1,Copperline Gorge,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,3,Mountain,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,3,Sacred Foundry,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,2,Stomping Ground,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,1,Windswept Heath,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,4,Wooded Foothills,,Lands,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,2,Path to Exile,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Rending Volley,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,3,Deflecting Palm,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,4,Destructive Revelry,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,2,Kor Firewalker,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
30,2,Molten Rain,,Sideboard,7th,Naya Burn,Zane Woodruff,191 tix,$ 531,332012,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,4,Delver of Secrets,,Creatures,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,4,Snapcaster Mage,,Creatures,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,2,Young Pyromancer,,Creatures,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,2,"Tasigur, the Golden Fang",,Creatures,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,2,Gurmag Angler,,Creatures,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,3,Gitaxian Probe,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,4,Lightning Bolt,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,4,Serum Visions,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,1,Spell Pierce,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,2,Spell Snare,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,4,Thought Scour,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,2,Mana Leak,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,2,Remand,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,3,Terminate,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,2,Kolaghan's Command,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,1,Rise // Fall,,Spells,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,1,Blood Crypt,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,3,Bloodstained Mire,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,1,Darkslick Shores,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,1,Flooded Strand,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,2,Island,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,1,Mountain,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,4,Polluted Delta,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Steam Vents,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,1,Sulfur Falls,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,1,Swamp,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,1,Watery Grave,,Lands,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
31,2,Engineered Explosives,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
32,2,Hangarback Walker,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
33,2,Dispel,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
34,1,Grim Lavamancer,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
35,2,Thoughtseize,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
36,1,Bitterblossom,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
37,1,Go for the Throat,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
38,1,Spellskite,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
39,2,Blood Moon,,Sideboard,8th,Grixis Delver,Nile Stephenson,322 tix,$ 955,332013,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
